"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Heim, Jonah","641680","2024","317",19.2,6.3,".284",".295",29.8,7.7,39.1,"99.193114872","93.864498283",20.3,53.7
"Westburg, Jordan","676059","2024","369",22.2,4.9,".349",".354",37.6,11.8,46.8,"101.927729084","95.38237813",30,52.2
"Goldschmidt, Paul","502671","2024","404",28.2,7.4,".292",".328",34.8,9.4,49,"101.729652677","95.608340787",27.3,46.4
"Rodgers, Brendan","663898","2024","310",22.3,5.8,".301",".307",30.6,5,44.6,"101.276075225","94.861986244",24.7,49.9
"Rodríguez, Julio","677594","2024","402",27.4,5.7,".306",".341",33,9.8,47.7,"103.745611364","96.356630644",31.2,54.3
"Arcia, Orlando","606115","2024","340",21.8,4.1,".250",".242",28.8,4.8,41.6,"98.9091968","93.667301606",26,50.4
"Santana, Carlos","467793","2024","344",15.7,9.6,".328",".323",31.2,6.3,38.3,"99.093940472","93.754494862",23.1,43.3
"De La Cruz, Elly","682829","2024","412",30.8,10.9,".359",".336",34.9,12.8,43,"102.528193043","95.598483913",32.5,42.5
"Santander, Anthony","623993","2024","382",18.8,7.1,".343",".325",37.5,11.2,40.4,"100.256458623","94.280922065",19.9,50.9
"García, Luis","671277","2024","320",15.6,4.4,".328",".343",33.2,8.2,39.5,"100.245896349","94.278153227",21.4,51.3
"Mountcastle, Ryan","663624","2024","366",21,5.7,".327",".347",33.7,9.4,47.6,"102.416793985","95.598870752",22.9,55.5
"DeJong, Paul","657557","2024","329",31.6,4,".301",".289",37.3,9.8,42.2,"99.926864118","94.174210049",33.2,58.4
"Reynolds, Bryan","668804","2024","429",21,7.9,".360",".367",35.7,11,48,"101.5096746","95.1777073",28.5,48.7
"Greene, Riley","682985","2024","408",25,12,".372",".363",38.3,13.4,46.2,"101.82157126","95.406753794",25.7,42.8
"Ward, Taylor","621493","2024","391",25.3,10.5,".313",".356",40.7,14.1,44.1,"100.512280806","94.780668745",25.9,41.2
"Ozuna, Marcell","542303","2024","401",23.4,10.7,".408",".434",42.4,17.9,56.3,"103.762127615","97.011444462",31.6,47.6
"Springer III, George","543807","2024","369",16.8,10.6,".301",".341",32.8,8.3,37.6,"100.271893282","94.239734084",23.2,50.2
"Winker, Jesse","608385","2024","355",22.3,13.5,".356",".339",29,9,38.9,"99.355250092","93.892575596",20.8,42
"Paredes, Isaac","670623","2024","385",17.1,11.7,".359",".309",36.2,6,26.8,"95.979817368","92.005999736",17.9,44.4
"Meneses, Joey","608841","2024","313",20.1,6.7,".265",".276",30.8,4.5,39.3,"99.265454911","93.867431839",22.9,50.8
"Busch, Michael","683737","2024","336",31,11.6,".357",".327",42.4,11.5,37.7,"99.718269263","94.164623651",30.6,45.5
"Seager, Corey","608369","2024","358",17.3,11.2,".354",".387",35.4,15.4,48.8,"103.078382756","95.87494419",22.5,51.7
"Carroll, Corbin","682998","2024","404",17.6,10.4,".284",".303",25.1,3.8,36.2,"100.213216667","94.186830213",20,42.5
"Merrill, Jackson","701538","2024","350",17.4,4.3,".322",".349",38.5,8.1,43.6,"100.594332","94.631412444",19.9,55.8
"Nimmo, Brandon","607043","2024","399",24.3,12.3,".358",".373",38,12.4,50.8,"102.161856364","95.857255331",24.8,43.5
"Raleigh, Cal","663728","2024","358",33,10.3,".315",".337",35.8,16.4,54.2,"103.1594048","96.4805053",30.5,51.5
"Arenado, Nolan","571448","2024","379",14.8,6.6,".310",".295",37.9,3.1,28,"96.032116122","92.043554232",19,45.3
"Bichette, Bo","666182","2024","327",19,6.1,".264",".306",31.8,4.5,43.9,"101.046581513","94.882511303",21.6,56.3
"Verdugo, Alex","657077","2024","394",15.2,7.6,".293",".310",31.7,5.6,36.3,"98.075229133","93.098058567",16.4,44.9
"Langeliers, Shea","669127","2024","313",29.1,6.1,".298",".332",34.5,15.5,46.5,"102.5899078","95.80567775",30.5,50.4
"Lindor, Francisco","596019","2024","431",16.9,8.4,".341",".374",34.5,13.7,46.6,"100.6740375","94.875998109",22,47.9
"Volpe, Anthony","683011","2024","440",21.1,6.6,".293",".290",34.1,4.1,36,"98.14450549","93.211180525",22.4,48.5
"McMahon, Ryan","641857","2024","408",28.2,10.3,".347",".348",36.8,12.6,54.3,"103.716796667","96.986347878",28.9,47.3
"Joe, Connor","656582","2024","300",19.7,9.7,".318",".293",35,5.3,32.5,"98.200599223","93.134332927",22.7,42.7
"Gorman, Nolan","669357","2024","344",37.5,9,".300",".311",39.3,16.4,37.9,"100.461763846","94.276673022",39.2,50.3
"Thomas, Lane","657041","2024","302",21.9,7.9,".315",".333",33.7,7.2,42.3,"100.572492981","94.512886875",20,42.6
"Burger, Jake","669394","2024","302",26.8,5.3,".276",".292",26.8,10.2,43.9,"102.893957647","95.659357059",29.6,53.8
"Semien, Marcus","543760","2024","425",13.6,8.9,".309",".328",35.4,6.4,33.2,"97.507484172","92.817711534",19.6,49.6
"Pages, Andy","681624","2024","313",24.3,5.4,".308",".317",37.7,10.2,41.9,"100.424136729","94.304604439",26,52.8
"Arozarena, Randy","668227","2024","379",24.5,11.1,".301",".327",26,9.4,41.7,"100.672138462","94.541152906",30.5,42.2
"Neto, Zach","687263","2024","345",23.2,4.9,".319",".312",29,8.3,35.7,"100.007550593","94.154686043",26.8,51.9
"Crawford, J.P.","641487","2024","322",22.4,11.8,".296",".319",31.8,8.1,39.8,"99.284502212","93.792134638",19.4,40.8
"Doyle, Brenton","686668","2024","377",24.9,8.8,".351",".343",36.8,10.9,42.1,"101.251625083","94.825650792",28.8,50.1
"Vaughn, Andrew","683734","2024","368",23.1,6.3,".300",".326",36.9,9.8,44.3,"101.101206641","94.802967216",23.2,49.3
"Steer, Spencer","668715","2024","398",20.4,11.1,".340",".334",35.6,7.5,41.2,"99.629763083","94.001874361",21.2,44.4
"Torres, Gleyber","650402","2024","380",22.6,9.5,".291",".294",35.7,6.3,34.9,"97.869644567","93.094840119",25.4,46.2
"Castro, Willi","650489","2024","386",22.8,8.3,".342",".329",36.1,6.7,38.9,"99.211260081","93.697337368",28.6,50.2
"Canha, Mark","592192","2024","341",19.1,11.1,".304",".293",31.1,3.5,37.7,"98.172335877","93.199482061",22.3,40.3
"Kwan, Steven","680757","2024","308",8.1,7.5,".400",".346",40.9,1.9,23,"94.960170476","91.49395012",6.5,40
"Garver, Mitch","641598","2024","318",30.2,12.6,".289",".293",32.8,9,39,"99.624663864","93.969221534",31.9,38.1
"Taveras, Leody","665750","2024","333",19.5,8.7,".282",".313",33.1,5.4,40.6,"100.09577839","94.220342596",24.8,48
"Alonso, Pete","624413","2024","411",20.7,9,".333",".334",30,11.7,41.3,"101.376064823","94.78794883",22,44.4
"Rooker Jr., Brent","667670","2024","344",32.6,10.5,".399",".386",42,17.6,50.8,"103.980788646","96.696225573",34.8,48.1
"Kim, Ha-Seong","673490","2024","378",15.6,12.7,".309",".322",35.3,5.2,36.8,"98.743379924","93.470807778",16,37.3
"Harper, Bryce","547180","2024","357",21.3,14.8,".413",".386",38.6,12.3,47.4,"102.779138333","95.79645978",28.5,51.2
"Bleday, JJ","668709","2024","391",19.2,10.5,".318",".329",38.3,8,36.1,"99.322076176","93.746269007",25.4,44.9
"Happ, Ian","664023","2024","381",26.8,13.1,".353",".347",36.6,12.5,43.3,"101.504963393","95.161279731",27.5,45
"Candelario, Jeimer","600869","2024","352",24.1,6.5,".326",".289",35,7.5,34.2,"97.67831625","92.845201167",29.1,52.6
"Morel, Christopher","666624","2024","396",23.5,10.9,".304",".354",27.8,12.3,44.4,"101.935248333","95.195133532",31.9,45.8
"Henderson, Gunnar","683002","2024","432",23.6,10.9,".406",".389",34.3,14.1,56.7,"104.159082681","97.159869746",25.8,43.2
"Riley, Austin","663586","2024","347",25.1,8.9,".338",".360",36.7,15,51.8,"103.669612035","96.573320487",28.3,49.4
"Sheets, Gavin","657757","2024","316",19.3,11.1,".306",".328",40.6,6,36.9,"99.543423333","93.939696574",22.5,44.1
"India, Jonathan","663697","2024","366",19.7,12.6,".355",".362",42.3,7.5,37.8,"99.354248083","93.744567333",18.6,37.6
"Olson, Matt","621566","2024","398",27.4,9,".311",".326",34.4,10.1,46.2,"102.663847131","95.884636311",27.4,49.7
"Garcia, Maikel","672580","2024","412",16.3,6.8,".276",".303",32.8,4.4,42.3,"100.313803677","94.561838419",16.3,44.4
"Correa, Carlos","621043","2024","317",16.7,9.5,".383",".362",34.3,9.6,46.1,"102.955410435","95.754906739",19.3,44.3
"Arraez, Luis","650333","2024","416",5.8,3.6,".317",".333",43,1.6,24.7,"95.114212919","91.609316378",8.6,49.1
"Turner, Justin","457759","2024","310",17.7,11.9,".308",".332",38.7,3.3,33,"96.848130189","92.518416887",17,45.1
"Adames, Willy","642715","2024","421",22.6,11.2,".331",".346",36,10.8,40.3,"99.534257914","94.074611583",28.4,48.1
"Perez, Salvador","521692","2024","379",19.3,6.9,".350",".379",39.6,12.8,46.2,"102.316668074","95.692329741",26.7,58.4
"Stott, Bryson","681082","2024","353",16.4,11.3,".300",".318",37.7,3.6,29.8,"96.90920592","92.47549",17,43.1
"Freeman, Tyler","671289","2024","311",14.5,8.4,".297",".311",31.3,4,37.9,"99.259024554","93.812951704",17,46
"Soto, Juan","665742","2024","427",16.4,18.5,".422",".455",34.4,18.8,57.6,"105.736958759","98.206526777",22.6,37
"Suárez, Eugenio","553993","2024","367",28.9,9.5,".296",".300",38.4,8.2,36.5,"99.259581909","93.718210411",31,45.4
"Keith, Colt","690993","2024","317",19.2,6.9,".307",".321",34.1,7.3,34.1,"98.192107845","93.161142888",22,48.1
"Young, Jacob","696285","2024","301",20.6,5.6,".280",".295",29.4,1.9,28,"96.560935102","92.327448923",19.3,44
"Yelich, Christian","592885","2024","302",18.5,12.3,".402",".378",32,8.3,48.1,"103.161713039","96.170293842",22.4,45.7
"Bellinger, Cody","641355","2024","344",17.2,7.8,".321",".293",31.8,5.9,33.7,"97.808656328","93.04840851",23.3,50.5
"Swanson, Dansby","621020","2024","337",27,8.3,".279",".324",33.3,9.3,45.4,"100.7904125","94.802104722",30.7,48.6
"Witt Jr., Bobby","677951","2024","425",16.7,6.6,".391",".409",35.7,14.9,49.4,"104.019731925","96.551128789",22.8,51
"Giménez, Andrés","665926","2024","379",14.2,4.2,".286",".312",33.7,3.7,28.3,"96.447768639","92.241970785",22.7,56
"Gelof, Zack","680869","2024","308",35.4,7.1,".283",".287",34.5,9.2,37.9,"99.034938588","93.737006647",36,50.4
"Ramírez, José","608070","2024","401",13,7.2,".354",".320",33.9,8.8,40.8,"99.902929438","94.181431536",15.8,49.8
"Abrams, CJ","682928","2024","398",20.1,7.5,".356",".355",37.5,7.2,42.6,"100.040768188","94.285694582",24.6,53.8
"Schanuel, Nolan","694384","2024","366",16.1,9.8,".301",".319",36,3.4,26.5,"95.493495814","91.748371977",14.8,42.6
"France, Ty","664034","2024","334",24.3,8.4,".303",".316",32.7,9.3,37.4,"99.319669439","93.741854486",23.7,48.1
"Rutschman, Adley","668939","2024","404",17.3,8.9,".338",".336",39.1,8.1,40.4,"98.872548255","93.693260539",18.8,45.3
"Turang, Brice","668930","2024","375",16.8,8.8,".323",".303",33.5,2.9,31.3,"97.150976791","92.686534664",13.3,45.7
"Contreras, William","661388","2024","418",19.4,8.9,".345",".346",29.2,9.1,49.7,"103.797487785","96.659794463",28.1,47.8
"Bohm, Alec","664761","2024","402",13.9,7,".355",".363",36.7,8.3,45,"100.878450705","94.857493987",18.1,48.5
"Naylor, Josh","647304","2024","379",17.2,9.5,".346",".356",33.1,10.7,45.2,"101.776888963","95.299095815",22.4,52.1
"García, Adolis","666969","2024","379",26.9,7.4,".295",".314",34.8,13.5,47.1,"102.138090082","95.642566749",32.7,52.7
"Hoerner, Nico","663538","2024","381",10.8,8.1,".307",".316",36.9,1.7,27.9,"96.335487785","92.181581846",12.7,47.3
"Chapman, Matt","656305","2024","404",23.8,10.1,".319",".345",32.3,11.8,45.8,"103.405819084","96.132264198",22.8,44.9
"Cruz, Oneil","665833","2024","344",32.6,7,".316",".340",33.3,17.9,54.1,"106.584511942","98.107655243",32.7,46.5
"Suzuki, Seiya","673548","2024","314",27.4,7.6,".350",".342",35.7,11.6,49.7,"102.9590417","96.087735075",25.3,41
"Estrada, Thairo","642731","2024","333",19.2,3,".265",".268",29,5.1,33.3,"97.641015159","92.821095635",19.4,50.7
"Varsho, Daulton","662139","2024","327",27.5,10.1,".301",".257",30.5,5.9,32,"97.806981939","92.903490969",26.9,46
"Gurriel Jr., Lourdes","666971","2024","376",19.7,3.7,".310",".307",33.7,7.4,40.4,"99.516364965","93.925328",20.7,50.9
"Hernández, Teoscar","606192","2024","402",28.1,8,".346",".338",31.7,14.7,47.6,"102.680475556","95.749339643",34,52.3
"Walker, Christian","572233","2024","420",25.2,10.2,".357",".365",36.3,15.7,48.3,"103.362957687","96.089425318",26.1,47.7
"Peña, Jeremy","665161","2024","392",16.3,4.3,".308",".318",32.3,4.3,39.3,"99.258477315","93.747825859",24.1,53.2
"Frelick, Sal","686217","2024","326",16.9,9.2,".316",".290",30.5,1.3,22,"95.433302","91.718878739",14.4,39.8
"Soler, Jorge","624585","2024","342",25.1,9.6,".308",".314",32.4,9.6,39.7,"100.900189455","94.647305936",29.8,47.1
"Diaz, Yainer","673237","2024","347",15,3.7,".310",".325",32,6.8,45.6,"100.854747801","94.738866121",21.5,58.4
"McNeil, Jeff","643446","2024","323",12.4,6.8,".264",".279",31.8,1.6,30.6,"96.635245591","92.363850315",14.7,53.1
"O'Hoppe, Logan","681351","2024","315",24.1,5.7,".347",".348",39.4,10.2,46.8,"101.136030463","95.051524651",29.3,51.2
"Díaz, Yandy","650490","2024","416",14.7,7.5,".319",".333",28.6,6.5,49.7,"103.525651","96.402041563",12.3,44.7
"Cronenworth, Jake","630105","2024","401",17.5,7.5,".328",".346",34.9,8.9,38.7,"100.134514545","94.348241364",17.3,46.3
"Bregman, Alex","608324","2024","402",13.4,7.7,".319",".296",31.4,4.4,36.5,"97.91718038","93.040129873",13.2,44.8
"Lowe, Nathaniel","663993","2024","302",22.2,11.6,".321",".301",30.2,4,39.7,"100.209674141","94.250462727",19,42.5
"Tatis Jr., Fernando","665487","2024","345",20.6,8.7,".358",".400",34.9,13.9,53.8,"103.759475294","96.629932827",27,49.8
